fips,state,area_name,county_name,fmr23_0,fmr23_1,fmr23_2,fmr23_3,fmr23_4,fmr22_0,fmr22_1,fmr22_2,fmr22_3,fmr22_4,fmr21_0,fmr21_1,fmr21_2,fmr21_3,fmr21_4,fmr20_0,fmr20_1,fmr20_2,fmr20_3,fmr20_4,fmr19_0,fmr19_1,fmr19_2,fmr19_3,fmr19_4,pop2010,pop2017,pop2000,census_region
401399999,AZ,Phoenix,Maricopa,1344,1467,1740,2386,2716,1005,1091,1311,1825,2078,933,1032,1251,1765,2010,847,958,1173,1676,1916,744,868,1073,1551,1776,3817117,4155500,3072149,4
603799999,CA,Los_Angeles,Los_Angeles,1534,1747,2222,2888,3170,1384,1604,2044,2693,2933,1369,1605,2058,2735,2982,1279,1517,1956,2614,2857,1158,1384,1791,2401,2641,9818605,10105720,9519338,4
606799999,CA,Sacramento,Sacramento,1277,1400,1756,2496,2907,1108,1228,1543,2192,2625,1060,1188,1495,2140,2588,952,1072,1349,1946,2368,853,968,1220,1764,2143,1418788,1495400,1223499,4
607599999,CA,San_Francisco,San_Francisco,2156,2665,3188,3912,4283,2115,2631,3198,4111,4473,2350,2923,3553,4567,4970,2197,2720,3339,4365,4657,1822,2255,2809,3663,3912,805235,864265,776733,4
1703199999,IL,Chicago,Cook,1158,1255,1440,1827,2172,1059,1161,1340,1697,2018,1012,1122,1299,1649,1969,956,1076,1248,1585,1888,915,1044,1212,1542,1844,5194675,5238540,5376741,2
2502507000,MA,Boston,Suffolk,2025,2198,2635,3207,3540,1803,1986,2399,2966,3253,1742,1924,2336,2906,3168,1715,1900,2311,2880,3131,1394,1561,1902,2383,2571,617594,669160,589141,1
3606199999,NY,New_York,New_York,2123,2170,2451,3078,3316,2018,2054,2340,2952,3173,1760,1801,2053,2598,2784,1665,1714,1951,2472,2643,1559,1599,1831,2324,2475,1585873,1653875,1537195,1
4703799999,TN,Nashville,Davidson,1218,1245,1406,1758,2173,1079,1100,1253,1587,1975,998,1031,1197,1539,1930,898,957,1136,1484,1822,830,911,1103,1455,1738,626681,678320,569891,3
4845399999,TX,Austin,Travis,1253,1386,1626,2088,2416,1092,1236,1451,1867,2194,1059,1212,1434,1848,2207,988,1134,1356,1763,2128,931,1086,1315,1734,2099,1024266,1176585,812280,3
5303399999,WA,Seattle,King,1829,1881,2199,2953,3446,1674,1739,2044,2796,3285,1523,1599,1906,2694,3172,1627,1741,2099,2993,3524,1416,1557,1899,2733,3228,1931249,2118120,1737034,4
