City,State,Bedrooms,Year,Avg Rent,Change,YoY,2Y Change,Yo2Y,3Y Change,Yo3Y,4Y Change,Yo4Y
Phoenix,AZ,studio,2019,847,103,13.84,,,,,,
Los Angeles,CA,studio,2019,1279,121,10.45,,,,,,
Sacramento,CA,studio,2019,952,99,11.61,,,,,,
San Francisco,CA,studio,2019,2197,375,20.58,,,,,,
Chicago,IL,studio,2019,956,41,4.48,,,,,,
Boston,MA,studio,2019,1715,321,23.03,,,,,,
New York,NY,studio,2019,1665,106,6.8,,,,,,
Nashville,TN,studio,2019,898,68,8.19,,,,,,
Austin,TX,studio,2019,988,57,6.12,,,,,,
Seattle,WA,studio,2019,1627,211,14.9,,,,,,
Phoenix,AZ,studio,2020,933,86,10.15,189,25.4,,,,
Los Angeles,CA,studio,2020,1369,90,7.04,211,18.22,,,,
Sacramento,CA,studio,2020,1060,108,11.34,207,24.27,,,,
San Francisco,CA,studio,2020,2350,153,6.96,528,28.98,,,,
Chicago,IL,studio,2020,1012,56,5.86,97,10.6,,,,
Boston,MA,studio,2020,1742,27,1.57,348,24.96,,,,
New York,NY,studio,2020,1760,95,5.71,201,12.89,,,,
Nashville,TN,studio,2020,998,100,11.14,168,20.24,,,,
Austin,TX,studio,2020,1059,71,7.19,128,13.75,,,,
Seattle,WA,studio,2020,1523,-104,-6.39,107,7.56,,,,
Phoenix,AZ,studio,2021,1005,72,7.72,158,18.65,261,35.08,,
Los Angeles,CA,studio,2021,1384,15,1.1,105,8.21,226,19.52,,
Sacramento,CA,studio,2021,1108,48,4.53,156,16.39,255,29.89,,
San Francisco,CA,studio,2021,2115,-235,-10.0,-82,-3.73,293,16.08,,
Chicago,IL,studio,2021,1059,47,4.64,103,10.77,144,15.74,,
Boston,MA,studio,2021,1803,61,3.5,88,5.13,409,29.34,,
New York,NY,studio,2021,2018,258,14.66,353,21.2,459,29.44,,
Nashville,TN,studio,2021,1079,81,8.12,181,20.16,249,30.0,,
Austin,TX,studio,2021,1092,33,3.12,104,10.53,161,17.29,,
Seattle,WA,studio,2021,1674,151,9.91,47,2.89,258,18.22,,
Phoenix,AZ,studio,2022,1344,339,33.73,411,44.05,497,58.68,600,80.65
Los Angeles,CA,studio,2022,1534,150,10.84,165,12.05,255,19.94,376,32.47
Sacramento,CA,studio,2022,1277,169,15.25,217,20.47,325,34.14,424,49.71
San Francisco,CA,studio,2022,2156,41,1.94,-194,-8.26,-41,-1.87,334,18.33
Chicago,IL,studio,2022,1158,99,9.35,146,14.43,202,21.13,243,26.56
Boston,MA,studio,2022,2025,222,12.31,283,16.25,310,18.08,631,45.27
New York,NY,studio,2022,2123,105,5.2,363,20.63,458,27.51,564,36.18
Nashville,TN,studio,2022,1218,139,12.88,220,22.04,320,35.63,388,46.75
Austin,TX,studio,2022,1253,161,14.74,194,18.32,265,26.82,322,34.59
Seattle,WA,studio,2022,1829,155,9.26,306,20.09,202,12.42,413,29.17
Phoenix,AZ,1,2019,958,90,10.37,,,,,,
Los Angeles,CA,1,2019,1517,133,9.61,,,,,,
Sacramento,CA,1,2019,1072,104,10.74,,,,,,
San Francisco,CA,1,2019,2720,465,20.62,,,,,,
Chicago,IL,1,2019,1076,32,3.07,,,,,,
Boston,MA,1,2019,1900,339,21.72,,,,,,
New York,NY,1,2019,1714,115,7.19,,,,,,
Nashville,TN,1,2019,957,46,5.05,,,,,,
Austin,TX,1,2019,1134,48,4.42,,,,,,
Seattle,WA,1,2019,1741,184,11.82,,,,,,
Phoenix,AZ,1,2020,1032,74,7.72,164,18.89,,,,
Los Angeles,CA,1,2020,1605,88,5.8,221,15.97,,,,
Sacramento,CA,1,2020,1188,116,10.82,220,22.73,,,,
San Francisco,CA,1,2020,2923,203,7.46,668,29.62,,,,
Chicago,IL,1,2020,1122,46,4.28,78,7.47,,,,
Boston,MA,1,2020,1924,24,1.26,363,23.25,,,,
New York,NY,1,2020,1801,87,5.08,202,12.63,,,,
Nashville,TN,1,2020,1031,74,7.73,120,13.17,,,,
Austin,TX,1,2020,1212,78,6.88,126,11.6,,,,
Seattle,WA,1,2020,1599,-142,-8.16,42,2.7,,,,
Phoenix,AZ,1,2021,1091,59,5.72,133,13.88,223,25.69,,
Los Angeles,CA,1,2021,1604,-1,-0.06,87,5.74,220,15.9,,
Sacramento,CA,1,2021,1228,40,3.37,156,14.55,260,26.86,,
San Francisco,CA,1,2021,2631,-292,-9.99,-89,-3.27,376,16.67,,
Chicago,IL,1,2021,1161,39,3.48,85,7.9,117,11.21,,
Boston,MA,1,2021,1986,62,3.22,86,4.53,425,27.23,,
New York,NY,1,2021,2054,253,14.05,340,19.84,455,28.46,,
Nashville,TN,1,2021,1100,69,6.69,143,14.94,189,20.75,,
Austin,TX,1,2021,1236,24,1.98,102,8.99,150,13.81,,
Seattle,WA,1,2021,1739,140,8.76,-2,-0.11,182,11.69,,
Phoenix,AZ,1,2022,1467,376,34.46,435,42.15,509,53.13,599,69.01
Los Angeles,CA,1,2022,1747,143,8.92,142,8.85,230,15.16,363,26.23
Sacramento,CA,1,2022,1400,172,14.01,212,17.85,328,30.6,432,44.63
San Francisco,CA,1,2022,2665,34,1.29,-258,-8.83,-55,-2.02,410,18.18
Chicago,IL,1,2022,1255,94,8.1,133,11.85,179,16.64,211,20.21
Boston,MA,1,2022,2198,212,10.67,274,14.24,298,15.68,637,40.81
New York,NY,1,2022,2170,116,5.65,369,20.49,456,26.6,571,35.71
Nashville,TN,1,2022,1245,145,13.18,214,20.76,288,30.09,334,36.66
Austin,TX,1,2022,1386,150,12.14,174,14.36,252,22.22,300,27.62
Seattle,WA,1,2022,1881,142,8.17,282,17.64,140,8.04,324,20.81
Phoenix,AZ,2,2019,1173,100,9.32,,,,,,
Los Angeles,CA,2,2019,1956,165,9.21,,,,,,
Sacramento,CA,2,2019,1349,129,10.57,,,,,,
San Francisco,CA,2,2019,3339,530,18.87,,,,,,
