Area,Week,Number,MOE,Percent,MOE Percent
United States,"25 - February 17 - March 1, 2021",90412774,1479474,38.4,0.6
United States,"19 - November 11-23, 2020",87796720,1307191,36.9,0.6
United States,"18 - October 28 - November 9, 2020",88290005,1301588,37.3,0.6
United States,"22 - January 6-18, 2021",89217399,1286041,38.4,0.5
United States,"24 - February 3-15, 2021",91134754,1273350,38.8,0.6
United States,"21 - December 9-21, 2020",88800680,1268033,37.5,0.5
United States,"26 - March 3-15, 2021",91431335,1259567,38.8,0.5
United States,"27 - March 17-29, 2021",91765269,1241722,39.1,0.5
United States,"17 - October 14-26, 2020",87274206,1170908,36.9,0.5
United States,"23 - January 20 - February 1, 2021",91007399,1125907,38.6,0.5
United States,"20 - November 25 - December 7, 2020",88448096,1070698,37.3,0.4
United States,"14 - September 2-14, 2020",85824785,1012735,36.4,0.4
United States,"15 - September 16-28, 2020",86484370,973245,36.6,0.4
United States,"16 - September 30 - October 12, 2020",87489086,921683,36.9,0.4
United States,"13 - August 19-31, 2020",85653079,916444,36.3,0.4
California,"18 - October 28 - November 9, 2020",12297343,770938,43.9,2.8
California,"25 - February 17 - March 1, 2021",11999796,641658,42.3,2.2
California,"22 - January 6-18, 2021",12053259,618963,43.5,2.1
Texas,"27 - March 17-29, 2021",7697679,612611,38.9,3
California,"27 - March 17-29, 2021",12148505,595770,42.4,2
California,"21 - December 9-21, 2020",11250795,572788,39.2,1.9
California,"19 - November 11-23, 2020",11430624,570190,39.4,2
New York,"21 - December 9-21, 2020",5661120,548649,40.6,3.9
California,"24 - February 3-15, 2021",12112548,544378,43.1,2
Texas,"21 - December 9-21, 2020",8249335,541433,40,2.5
California,"20 - November 25 - December 7, 2020",11217480,534698,39.7,2
New York,"19 - November 11-23, 2020",5923062,534216,41.4,3.7
Texas,"22 - January 6-18, 2021",7413437,518025,37.4,2.5
California,"26 - March 3-15, 2021",12157764,516670,43.2,2
California,"23 - January 20 - February 1, 2021",11711765,514045,41.2,1.9
Texas,"16 - September 30 - October 12, 2020",8132742,508046,40.3,2.3
California,"13 - August 19-31, 2020",11147384,496396,39.7,1.6
Texas,"19 - November 11-23, 2020",6976592,487169,34.2,2.3
Texas,"17 - October 14-26, 2020",7350872,487116,36.7,2.4
Texas,"15 - September 16-28, 2020",7701177,481087,37.8,2.3
Texas,"20 - November 25 - December 7, 2020",7273818,476575,35.6,2.3
California,"17 - October 14-26, 2020",10799858,475030,38.4,1.6
California,"16 - September 30 - October 12, 2020",10990976,469705,38.9,1.7
Texas,"18 - October 28 - November 9, 2020",7662403,468625,38.1,2.3
Texas,"25 - February 17 - March 1, 2021",7722833,464403,38.5,2.3
New York,"18 - October 28 - November 9, 2020",5463485,463812,40.4,3.4
California,"15 - September 16-28, 2020",11557810,463236,41.1,1.7
Florida,"26 - March 3-15, 2021",5177318,458704,32.7,3
New York,"25 - February 17 - March 1, 2021",5967691,458600,43.7,3.3
New York,"27 - March 17-29, 2021",6053509,451274,43.9,3.3
New York,"24 - February 3-15, 2021",6240942,450570,45.2,3.1
Florida,"21 - December 9-21, 2020",5444950,442057,34.2,2.8
California,"14 - September 2-14, 2020",11233083,437008,39.7,1.5
Florida,"19 - November 11-23, 2020",5186382,435033,32,2.7
New York,"22 - January 6-18, 2021",5406222,427505,39.3,3.1
Florida,"23 - January 20 - February 1, 2021",5579454,424129,34.8,2.6
Florida,"27 - March 17-29, 2021",5205888,413476,32.9,2.7
New York,"23 - January 20 - February 1, 2021",5576675,412514,40.1,2.9
Texas,"24 - February 3-15, 2021",7467995,403706,37.1,2.1
New York,"16 - September 30 - October 12, 2020",5832604,403518,41.4,2.9
New York,"17 - October 14-26, 2020",5595645,400010,40.1,2.8
Texas,"23 - January 20 - February 1, 2021",7415738,398567,37.1,2.1
Florida,"25 - February 17 - March 1, 2021",5429849,395372,34.3,2.6
New York,"20 - November 25 - December 7, 2020",6357646,393906,45.4,3.1
Florida,"20 - November 25 - December 7, 2020",5238607,390199,32.3,2.4
