Area,Date,Number,MOE,Percent,Percent MOE,Week Num,Month,Year,State Abbr
United States,"April 14, 2021",66724760,1016724,27.0,0.4,28 ,April 14, 2021,
United States,"April 28, 2021",64914068,1190413,26.2,0.5,29 ,April 28, 2021,
United States,"May 12, 2021",62836106,1116473,25.4,0.4,30 ,May 12, 2021,
United States,"May 26, 2021",60477604,1044606,24.5,0.4,31 ,May 26, 2021,
United States,"June 9, 2021",58631993,1063390,23.7,0.4,32 ,June 9, 2021,
United States,"June 23, 2021",57995930,1150196,23.5,0.5,33 ,June 23, 2021,
Alabama,"April 14, 2021",607624,83935,16.6,2.3,28 ,April 14, 2021,AL
Alaska,"April 14, 2021",97067,11393,18.7,2.2,28 ,April 14, 2021,AK
Arizona,"April 14, 2021",1477384,162998,25.9,2.8,28 ,April 14, 2021,AZ
Arkansas,"April 14, 2021",345534,57983,15.4,2.6,28 ,April 14, 2021,AR
California,"April 14, 2021",9631328,343783,32.7,1.2,28 ,April 14, 2021,CA
Colorado,"April 14, 2021",1613252,123335,36.1,2.8,28 ,April 14, 2021,CO
Connecticut,"April 14, 2021",838426,70922,30.9,2.6,28 ,April 14, 2021,CT
Delaware,"April 14, 2021",233623,33084,30.7,4.3,28 ,April 14, 2021,DE
District of Columbia,"April 14, 2021",297332,14799,55.1,2.7,28 ,April 14, 2021,DC
Florida,"April 14, 2021",3779113,319393,22.2,1.8,28 ,April 14, 2021,FL
Georgia,"April 14, 2021",1928670,194785,24.6,2.4,28 ,April 14, 2021,GA
Hawaii,"April 14, 2021",228123,28563,21.6,2.7,28 ,April 14, 2021,HI
Idaho,"April 14, 2021",279163,35934,20.4,2.6,28 ,April 14, 2021,ID
Illinois,"April 14, 2021",2757848,202549,29.3,2.2,28 ,April 14, 2021,IL
Indiana,"April 14, 2021",939297,94320,18.9,1.9,28 ,April 14, 2021,IN
Iowa,"April 14, 2021",559860,81832,24.1,3.5,28 ,April 14, 2021,IA
Kansas,"April 14, 2021",497636,83320,23.3,3.9,28 ,April 14, 2021,KS
Kentucky,"April 14, 2021",567061,88069,17.1,2.7,28 ,April 14, 2021,KY
Louisiana,"April 14, 2021",654108,148650,19.4,4.4,28 ,April 14, 2021,LA
Maine,"April 14, 2021",265399,36209,25.1,3.5,28 ,April 14, 2021,ME
Maryland,"April 14, 2021",1846800,126332,40.8,2.7,28 ,April 14, 2021,MD
Massachusetts,"April 14, 2021",2052679,138407,39.1,2.7,28 ,April 14, 2021,MA
Michigan,"April 14, 2021",1996300,156048,26.3,2.1,28 ,April 14, 2021,MI
Minnesota,"April 14, 2021",1435884,102787,34.0,2.4,28 ,April 14, 2021,MN
Mississippi,"April 14, 2021",254229,56407,11.7,2.6,28 ,April 14, 2021,MS
Missouri,"April 14, 2021",1049631,122601,22.8,2.7,28 ,April 14, 2021,MO
Montana,"April 14, 2021",124222,23469,15.0,2.8,28 ,April 14, 2021,MT
Nebraska,"April 14, 2021",361595,46954,25.9,3.3,28 ,April 14, 2021,NE
Nevada,"April 14, 2021",438083,64936,18.1,2.7,28 ,April 14, 2021,NV
New Hampshire,"April 14, 2021",336543,40086,31.4,3.7,28 ,April 14, 2021,NH
New Jersey,"April 14, 2021",2138322,154105,32.2,2.4,28 ,April 14, 2021,NJ
New Mexico,"April 14, 2021",373343,38464,23.6,2.5,28 ,April 14, 2021,NM
New York,"April 14, 2021",4569335,378115,31.4,2.6,28 ,April 14, 2021,NY
North Carolina,"April 14, 2021",2049933,217862,25.4,2.7,28 ,April 14, 2021,NC
North Dakota,"April 14, 2021",86944,17940,15.5,3.2,28 ,April 14, 2021,ND
Ohio,"April 14, 2021",1993112,257344,23.0,3.0,28 ,April 14, 2021,OH
Oklahoma,"April 14, 2021",478414,95119,16.4,3.3,28 ,April 14, 2021,OK
Oregon,"April 14, 2021",950628,71753,28.8,2.2,28 ,April 14, 2021,OR
Pennsylvania,"April 14, 2021",2615446,205064,27.1,2.1,28 ,April 14, 2021,PA
Rhode Island,"April 14, 2021",245837,31344,30.7,4.0,28 ,April 14, 2021,RI
South Carolina,"April 14, 2021",775874,148174,19.4,3.7,28 ,April 14, 2021,SC
South Dakota,"April 14, 2021",98583,24907,15.3,3.9,28 ,April 14, 2021,SD
Tennessee,"April 14, 2021",1022178,114366,19.6,2.2,28 ,April 14, 2021,TN
