,company_name,job_title,job_senority,degree,job_desc,city,state,avg_salary,salary_lower,salary_upper,size,industry,sector,job_function,revenue,num_listings
0,WCG,Director Human Capital Management ,,,"description and requirements
job summary: as a strategic partner, the director, hcm is responsible for both the strategic direction and management of human resources activities and processes aligned to the business objectives for their assigned internal client groups. this position will play a critical, strategic role on the human capital management team by providing thought leadership and direction regarding the design, execution and measurement of people / talent capability planning and development and optimization of hcm programs and solutions to assigned internal client groups. this role will serve as the primary focal point for delivering hcm programs and solutions to the internal client groups.

vaccination requirement:
to be considered for u.s.-based positions unless currently employed by wcg, where permitted by applicable law (including any applicable reasonable accommodation, medical or religious exemption), candidates must have received or be willing to receive the covid-19 vaccine by start date.",Township of Hamilton,NJ,157452.0,124.0,200.0,1001 - 5000 ,Pharmaceutical & Biotechnology,$100 to $500 million (USD),Business,,1045
1,Ingevity,Business Systems Analyst Supply Chain Logistics ,,,"job family group:
information technology
are you ready to do something remarkable? ready to collaborate with an incredible team to solve problems that improve people’s lives? meet ingevity.
at ingevity, we develop innovations that purify, protect and enhance the world around us. our products enable oil to flow better, crops to grow fuller, roads to last longer and ensure that the air we all breathe is cleaner.
our people come from all different backgrounds and help reimagine new possibilities daily. we understand there is no challenge too big and no contribution too small. we seek out new ideas for tackling complex problems and celebrate achieving the improbable. we value each person’s unique talents and synergize them to create meaningful impact and sustainable solutions for our customers and our world.
bold. energetic. ingenious. genuine. if these qualities describe you, we’d love for you to join ingevity!
how you will impact ingevity:
provide proactive technology solution consulting to our supply chain organizations and determine standard business applications and components for business solutions.",North Charleston,SC,81968.0,67.0,100.0,1001 - 5000 ,Chemical Manufacturing,Manufacturing,Business,$1 to $5 billion (USD),1045
2,"National Debt Relief, LLC.",Debt Negotiator,,,"about national debt relief:
national debt relief was founded in 2009 with the goal of helping an expanding number of consumers deal with overwhelming debt. we are one of the most-trusted and best-rated consumer debt relief providers in the united states. as a leading debt settlement organization, we have helped over 450,000 people settle over $10 billion of debt, while empowering them to lead a healthier financial lifestyle and feel free to live their best life. at national debt relief, we treat our clients like real people. our purpose is to elevate, empower, and transform their lives.

rated a+ by the better business bureau, our goal is to help individuals and families get out of debt with the least possible cost through conducting financial consultations, educating the consumer and recommending the appropriate solution. we become our clients' number one advocate to help them reestablish financial stability as quickly as possible.

national debt relief is a certified great place to work®!
overview:
responsibilities:



qualifications:


compensation information: our salary ranges are determined by role, level, and location. the range displayed on each job posting reflects the minimum and maximum target for each position across the us. within the range, individual pay is determined by work location, job-related skills, experience, and relevant education or training. this good faith pay range is provided in compliance with nyc law and the laws of other jurisdictions that may require a salary range in job postings. the salary for this position is $19.81/hr + performance-based bonuses. benefits:",New York,NY,41204.799999999996,41204.799999999996,,1001 - 5000 ,Banking & Lending,Financial Services,Business,,1045
3,GovCIO,Subcontracts Administrator II ,,,"govcio is a team of transformers-people who are passionate about transforming government i.t. we believe in making a difference by developing digital strategies and delivering the technology-related innovation that improves governmental operations each day.

but we can't do it alone. we welcome and nurture an inclusive and diversified work culture. because different backgrounds, experiences, abilities, and perspectives make us better decision-makers, problem solvers, and creators. we're changing the face of i.t. - from our diverse staff to the end-products we develop. and we're excited to expand our team. are you ready to be a transformer?

job overview",Fairfax,VA,54354.0,46.0,65.0,1001 - 5000 ,Information Technology,Unknown / Non-Applicable,Business,,1045
5,Mass General Brigham(PHS),"Contracts Specialist, ",,,"contracts specialist, remote
- (3222740)

as a not-for-profit organization, mass general brigham is committed to supporting patient care, research, teaching, and service to the community by leading innovation across our system. founded by brigham and women’s hospital and massachusetts general hospital, mass general brigham supports a complete continuum of care including community and specialty hospitals, a managed care organization, a physician network, community health centers, home care and other health-related entities. several of our hospitals are teaching affiliates of harvard medical school, and our system is a national leader in biomedical research.
we’re focused on a people-first culture for our system’s patients and our professional family. that’s why we provide our employees with more ways to achieve their potential. mass general brigham is committed to aligning our employees’ personal aspirations with projects that match their capabilities and creating a culture that empowers our managers to become trusted mentors. we support each member of our team to own their personal development—and we recognize success at every step.",Somerville,MA,58174.0,50.0,68.0,1001 - 5000 ,Health Care Services & Hospitals,Healthcare,Business,$10+ billion (USD),1045
6,J.S. Held,Project Operations Assistant ,,,"are you looking to join an organization that is growing and dynamic? what about a high-energy, collaborative environment that rewards hard work?

j.s. held is a global multi-disciplinary consulting firm with over 90 locations worldwide. we are highly committed to all members of our community, both employees and clients. our organization focuses on promoting a sense of community and inspiring our people to achieve results that exceed goals.

we are seeking a scheduling and invoicing administrator (remote eastern time zone) to join our dynamic and energetic finance team. this is a remote position for anyone located in the eastern time zone in the u.s.

job responsibilities",Jericho,NY,48880.0,45760.0,52000.0,1001 - 5000 ,Business Consulting,Management & Consulting,Business,,1045
7,BankUnited,Deposit Operations Analyst I - REMOTE,,,"this is a remote position
summary: the deposit ops - ny analyst i uses prior banking experience to perform daily functions in a remote work environment. this position will be responsible for functions that can be completed 100% remotely and may include the following: wire processing, ach and wire exception handling, ach and wire investigation, ach rejects, ach dnes and reclamations and e-service requests/mailboxes.
essential duties and responsibilities include the following. other duties and special projects may be assigned.
responsible for performing assigned functions in a remote work environment.
processes entries and may perform input/maintenance to support assigned functions and to correct errors.
ensures that all functions are delivered to both internal/external customers with optimal efficiency and excellent customer service.",Melville,NY,,,,1001 - 5000 ,Banking & Lending,Financial Services,Business,,1045
11,Mass General Brigham(PHS),Procurement Specialist ,,,"procurement specialist (remote)
- (3207682)

about us
as a not-for-profit organization, mass general brigham is committed to supporting patient care, research, teaching, and service to the community by leading innovation across our system. founded by brigham and women’s hospital and massachusetts general hospital, mgb supports a complete continuum of care including community and specialty hospitals, a managed care organization, a physician network, community health centers, home care and other health-related entities. several of our hospitals are teaching affiliates of harvard medical school, and our system is a national leader in biomedical research.

we’re focused on a people-first culture for our system’s patients and our professional family. that’s why we provide our employees with more ways to achieve their potential. mass general brigham is committed to aligning our employees’ personal aspirations with projects that match their capabilities and creating a culture that empowers our managers to become trusted mentors. we support each member of our team to own their personal development—and we recognize success at every step.

our employees use the mass general brigham values to govern decisions, actions and behaviors. these values guide how we get our work done: patients, affordability, accountability & service commitment, decisiveness, innovation & thoughtful risk; and how we treat each other: diversity & inclusion, integrity & respect, learning, continuous improvement & personal growth, teamwork & collaboration.",Somerville,MA,59856.0,51.0,70.0,1001 - 5000 ,Health Care Services & Hospitals,Healthcare,Business,$10+ billion (USD),1045
14,Hachette Book Group,Ebook Developer ,,,"summary:
workman publishing seeks a detail-oriented ebook developer. the ideal candidate will be an independent self-starter, organized, and have strong time-management skills with the ability to prioritize both assigned and self-assigned work in a fast-paced environment. in this role you will work to produce ebook files in-house, perform quality assurance, help to manage the ebook production schedule to ensure content from the relevant departments is received and updated in a timely manner, and work with files to alter design elements and tag as needed. you will ensure that our ebooks meet established standards and will work with the digital production manager to streamline our existing workflows.
essential duties and responsibilities:
schedule and produce front and backlist digital book editions to publishing industry standards.",New York,NY,60000.0,55.0,65.0,1001 - 5000 ,Publishing,Media & Communication,Business,,1045
15,South State Bank,FIU Risk Reporting Analyst ,,,"summary/objectives
the financial intelligence unit risk reporting analyst supports the bank’s enterprise-wide bsa/aml/ofac program in assisting in the development and ongoing maintenance of specialized reporting to be incorporated in the bank’s enterprise-wide bsa/aml/ofac risk assessment and committee reporting. this position is responsible for obtaining, organizing, and analyzing large volumes of quantitative data related to the bank’s product and services and higher risk customers, while ensuring accuracy in a clear and consistent format. also responsible for assisting in other tasks, projects, and initiatives as assigned.

essential functions
this position is expected to perform the specific duties, tasks, and responsibilities as outlined below:",,AL,,,,1001 - 5000 ,Banking & Lending,Financial Services,Business,$100 to $500 million (USD),1045
